Class,Precision,Recall,F1-Score,Specificity,seed
N,0.6120207464659819,0.9961926833305744,0.7582209902986015,0.1300877893056664,0
Q,0.9669051878354203,0.1813758389261745,0.30545351794292175,0.997515611361042,0
S,0.0,0.0,0.0,1.0,0
V,0.8405797101449275,0.06643757159221077,0.12314225053078556,0.9994494494494495,0
N,0.753174513990336,0.9668926716676284,0.8467563640957615,0.2563060775351278,1
Q,0.9397024275646045,0.2661343978709248,0.41479433114414105,0.9949547896736994,1
S,0.05688622754491018,0.16379310344827586,0.08444444444444445,0.9839735436275757,1
V,0.5911602209944752,0.1669266770670827,0.26034063260340634,0.9919952404132186,1
N,0.8618243243243243,0.9927725579585256,0.9226754850543829,0.15145228215767634,2
Q,0.5454545454545454,0.002471169686985173,0.004920049200492005,0.9997359108435008,2
S,0.6086956521739131,0.16279069767441862,0.25688073394495414,0.9991505026192836,2
V,0.702054794520548,0.5297157622739018,0.6038291605301914,0.9915480643124301,2
N,0.7225725679310026,0.9917897148676171,0.8360427061537636,0.02334312765262814,3
Q,0.0,0.0,0.0,0.9971069480673465,3
S,0.0,0.0,0.0,1.0,3
V,0.43601895734597157,0.024533333333333334,0.046452915930320623,0.993421052631579,3
N,0.98,0.48193446465881873,0.6461244149899225,0.8768347160178686,4
Q,0.0,0.0,0.0,0.9755947885196374,4
S,0.06213176218532405,0.29219143576826195,0.10247349823321555,0.9157889674409657,4
V,0.12177806902577545,0.9579037800687286,0.21608527131782945,0.5984719864176571,4
N,0.9699127000623571,0.9751319157828745,0.9725153054578611,0.6262104583602324,5
Q,0.0,0.0,0.0,0.9988874915352617,5
S,0.0,0.0,0.0,0.9885371445295351,5
V,0.6624579124579124,0.5855654761904762,0.6216429699842022,0.9792722009717771,5
N,0.7736552261222673,0.9695364238410596,0.860590310005569,0.35718799368088466,6
Q,0.7771712158808933,0.7157221206581352,0.7451820128479657,0.9757126629523449,6
S,0.0,0.0,0.0,1.0,6
V,0.7847730600292826,0.20112570356472795,0.3201911589008363,0.9918378678511938,6
N,0.8922805123423467,0.9578043512616552,0.9238821138211382,0.09930242100943783,7
Q,0.0,0.0,0.0,0.9998449371995658,7
S,0.0297029702970297,0.14285714285714285,0.04918032786885246,0.995420346745175,7
V,0.23535676251331203,0.6443148688046647,0.34477379095163807,0.9659344308962377,7
N,0.9646197641317609,0.6744000909814625,0.7938154680231585,0.8356630147336608,8
Q,0.4870478413068845,0.9971333014811276,0.6544371276262151,0.8788313120176405,8
S,0.02109704641350211,0.01824817518248175,0.019569471624266144,0.9883761711508593,8
V,0.007903981264637002,0.09642857142857143,0.01461038961038961,0.830150854508094,8
N,0.8630912894830841,0.9871600326835531,0.9209659415752361,0.1269118125610153,9
Q,0.6510638297872341,0.06273062730627306,0.11443530291697832,0.995384961728951,9
S,0.0,0.0,0.0,0.996080765987002,9
V,0.49324324324324326,0.25,0.33181818181818185,0.9923559088824339,9
N,0.9512268462833774,0.8864540716247268,0.9176989353369499,0.6018654884634266,10
Q,0.0,0.0,0.0,0.9104232858460592,10
S,0.05,0.010101010101010102,0.01680672268907563,0.9980693019002134,10
V,0.7213114754098361,0.7169042769857433,0.7191011235955056,0.9778345194762862,10
N,0.8114974182444062,0.7502386862707657,0.7796666225691229,0.3747430920301439,11
Q,0.2631578947368421,0.0023912003825920613,0.004739336492890996,0.999222179009945,11
S,0.011515151515151515,0.09743589743589744,0.020596205962059622,0.9180196029153054,11
V,0.3518993839835729,0.6550406115623507,0.4578393721823343,0.8596988386953381,11
N,0.9588997178763785,0.9189504731473516,0.9385001568873549,0.7320234113712375,12
Q,0.8590882178804026,0.8056635202665186,0.8315186246418338,0.9858879335902757,12
S,0.10634789777411377,0.3028169014084507,0.1574130567419158,0.9405701754385964,12
V,0.7857142857142857,0.8,0.7927927927927928,0.9980541592346359,12
N,0.9655765050801193,0.9713210617309062,0.9684402646454916,0.5354706684856753,13
Q,0.0,0.0,0.0,1.0,13
S,0.0,0.0,0.0,0.9988404676780365,13
V,0.5569811320754717,0.7263779527559056,0.6304997864160615,0.9708192483595148,13
N,0.8660243785596423,0.9654640398765725,0.9130446982238559,0.5069539666993144,14
Q,0.0,0.0,0.0,1.0,14
S,0.8717948717948718,0.5573770491803278,0.68,0.9995420196931531,14
V,0.7519404915912031,0.9244532803180915,0.8293204922418406,0.9605493262010081,14
N,0.9575042418633348,0.8465734742584384,0.898628352213094,0.8201110022853412,15
Q,0.5715465052283984,0.9933046389287422,0.725589519650655,0.9004284709343224,15
S,0.11932555123216602,0.35658914728682173,0.17881438289601556,0.9611333714939897,15
V,0.8907563025210085,0.44537815126050423,0.5938375350140056,0.9977077700717056,15
N,0.848259493670886,0.9014123977132609,0.8740285854029672,0.22074756229685807,16
Q,0.0,0.0,0.0,0.9173721295686116,16
S,0.5447154471544715,0.38953488372093026,0.4542372881355932,0.9973785226102425,16
V,0.8453105968331304,0.4051371862230006,0.5477505919494869,0.9935926542555875,16
N,0.9787929190923131,0.8818303451966818,0.9277851290858414,0.7168913560666138,17
Q,0.0,0.0,0.0,0.9777777777777777,17
S,0.046890927624872576,0.27058823529411763,0.07993049522154648,0.9527204692556634,17
V,0.33254716981132076,0.7833333333333333,0.46688741721854304,0.9411213981067305,17
N,0.920868755094911,0.963213350386747,0.9415652070371804,0.6472878276667532,18
Q,0.9052815364469664,0.8403565640194489,0.8716116831267073,0.98781172770164,18
S,0.0,0.0,0.0,1.0,18
V,0.41511771995043373,0.2768595041322314,0.3321764997521071,0.975238694785437,18
N,0.8484126511406278,0.9828192920720348,0.9106834601368199,0.42237857467090334,19
Q,0.8878281622911695,0.8912314326784858,0.8895265423242468,0.9860218891268142,19
S,0.0,0.0,0.0,1.0,19
V,0.0,0.0,0.0,0.9991806860388901,19
N,0.92755150429422,0.9980157605306423,0.9614943470424382,0.5703125,20
Q,0.9949664429530202,0.6520065970313359,0.7877781467950847,0.9996845425867508,20
S,0.20588235294117646,0.03783783783783784,0.0639269406392694,0.9986927471676189,20
V,0.9716088328075709,0.5150501672240803,0.673224043715847,0.9990836430280507,20
N,0.9361148583542108,0.9613101128042747,0.9485452060144502,0.39644970414201186,21
Q,0.0,0.0,0.0,0.9844282017523948,21
S,0.717948717948718,0.18961625282167044,0.3,0.9984976782299918,21
V,0.5272422464375524,0.4584548104956268,0.490448343079922,0.973190093644531,21
N,0.8974599260172627,0.9691611185086552,0.931933418693982,0.23566176470588235,22
Q,0.0,0.0,0.0,0.9884998603221902,22
S,0.0,0.0,0.0,1.0,22
V,0.6197327852004111,0.22849564228874575,0.3338870431893688,0.980377598642342,22
N,0.834106728538283,0.9255921730175077,0.8774713204783988,0.28410513141426785,23
Q,0.0,0.0,0.0,0.9770270975826242,23
S,0.6818181818181818,0.009874917709019092,0.01946787800129786,0.999611370197646,23
V,0.5675232367413887,0.4947569113441373,0.5286478227654698,0.9546262834853438,23
N,0.8588743382557815,0.9965515383371949,0.9226049435063477,0.2518463810930576,24
Q,0.9738933030646992,0.47013698630136985,0.6341463414634146,0.9988940180804001,24
S,0.0,0.0,0.0,1.0,24
V,0.7766990291262136,0.07568590350047304,0.13793103448275862,0.997756863510021,24
N,0.9588394486751841,0.9047449373478235,0.9310070887313615,0.8902868646200301,25
