Class,Precision,Recall,F1-Score,Specificity,seed
N,0.5814200270113834,0.9976825028968713,0.7346864143353447,0.0106031239311367,0
Q,0.7843137254901961,0.013422818791946308,0.026393929396238865,0.9985227959444034,0
S,0.0,0.0,0.0,1.0,0
V,0.631578947368421,0.013745704467353952,0.026905829596412557,0.9996496496496496,0
N,0.7935785104911229,0.99300346220427,0.882160707420223,0.39377010326731,1
Q,0.9982415005861665,0.3776890663118208,0.5480289621882543,0.9998034333639104,1
S,1.0,0.008620689655172414,0.017094017094017096,1.0,1
V,0.8016759776536313,0.44773790951638065,0.5745745745745746,0.9923197576937639,1
N,0.8534943670040099,0.9939956635347751,0.9184024656478746,0.09039715471250741,2
Q,1.0,0.0032948929159802307,0.006568144499178982,1.0,2
S,0.5735294117647058,0.22674418604651161,0.325,0.998631365331068,2
V,0.5133531157270029,0.2235142118863049,0.3114311431143114,0.9920338077427503,2
N,0.724993021308272,0.9917897148676171,0.8376605923775735,0.03509631080639895,3
Q,0.0,0.0,0.0,0.9959686981266304,3
S,0.0,0.0,0.0,1.0,3
V,0.6718146718146718,0.0464,0.08680468944874034,0.9953007518796992,3
N,0.9719449337769949,0.7591601691892167,0.8524749642346209,0.7255902999361837,4
Q,0.0,0.0,0.0,0.9932496223564955,4
S,0.39215686274509803,0.15113350125944586,0.21818181818181817,0.9955273409320444,4
V,0.18681516076881624,0.8934707903780069,0.3090179765265191,0.7739438729651453,4
N,0.9644126281093887,0.9783187921216238,0.9713159396234244,0.55390574564235,5
Q,0.0,0.0,0.0,0.9981135726032698,5
S,0.00390625,0.005291005291005291,0.0044943820224719105,0.987561582361836,5
V,0.8159509202453987,0.59375,0.6873385012919897,0.9906957510596506,5
N,0.7528921541751192,0.9572673405367724,0.8428676651117113,0.28799368088467614,6
Q,0.6728675136116152,0.6777879341864717,0.6753187613843351,0.9609996213555472,6
S,0.0,0.0,0.0,1.0,6
V,0.7241379310344828,0.06303939962476549,0.11598205039696237,0.996446418656302,6
N,0.8992411467116358,0.7865458568192594,0.8391266473712311,0.31350020517029137,7
Q,0.34753550543024225,0.20067534973468404,0.25443425076452597,0.9596319842869696,7
S,0.02145922746781116,0.23809523809523808,0.03937007874015748,0.9893452965091827,7
V,0.07471943295924395,0.7376093294460642,0.13569321533923304,0.8513545571001566,7
N,0.9208860759493671,0.9928352098259979,0.9555081267443769,0.43332074046089913,8
Q,0.9601731601731601,0.5298614429049212,0.6828817733990148,0.9974641675854465,8
S,0.0,0.0,0.0,0.9998496918683301,8
V,0.2,0.08214285714285714,0.11645569620253164,0.9953891645366612,8
N,0.9282280678328215,0.8114275709116376,0.8659068261086198,0.6501789781972014,9
Q,0.4653436018957346,0.6441164411644117,0.5403267411865864,0.8984128770823954,9
S,0.0018820577164366374,0.06,0.0036496350364963502,0.9210696036116486,9
V,0.43243243243243246,0.1917808219178082,0.265717674970344,0.9925087907047851,9
N,0.9619293919528478,0.8963739281510956,0.9279953582825645,0.6892488954344624,10
Q,0.23529411764705882,0.01092896174863388,0.020887728459530026,0.999333811622425,10
S,0.028169014084507043,0.010101010101010102,0.01486988847583643,0.9964942587135454,10
V,0.3652448657187994,0.7847929395790902,0.4984907287623976,0.890856739283968,10
N,0.8413406214039125,0.7445738654445929,0.7900050650008442,0.49623201644211007,11
Q,0.8787878787878788,0.06934481109516978,0.12854609929078015,0.9988888271570643,11
S,0.013446567586694975,0.09743589743589744,0.0236318407960199,0.9299321437547122,11
V,0.3841145833333333,0.8456760630673674,0.5282793612893598,0.8423070511751959,11
N,0.942816551234239,0.6524517635492196,0.7712085996513655,0.7307692307692307,12
Q,0.2209139332772638,0.8750694058856191,0.3527700055959709,0.6704417432552624,12
S,0.0,0.0,0.0,1.0,12
V,0.4740740740740741,0.7757575757575758,0.5885057471264368,0.9923247392032863,12
N,0.9597152884187633,0.9872877046679548,0.9733062636288443,0.4440654843110505,13
Q,0.0,0.0,0.0,0.9996211403674938,13
S,0.2857142857142857,0.20276497695852536,0.2371967654986523,0.9893709537153348,13
V,0.8871794871794871,0.5108267716535433,0.6483447845096815,0.9967190296281567,13
