Class,Precision,Recall,F1-Score,Specificity,seed
N,0.9095341006181836,0.9934672815107598,0.9496497258153386,0.5179432244242099,0
Q,0.9898403483309144,0.7732426303854876,0.8682367918523234,0.9993064500148617,0
S,0.3333333333333333,0.012962962962962963,0.024955436720142603,0.9993460999532928,0
V,0.7828746177370031,0.35804195804195804,0.491362763915547,0.9930799220272905,0
N,0.8850655548299593,0.9672266139657444,0.9243238989586339,0.387252276379218,1
Q,0.9761904761904762,0.11621315192743764,0.2077001013171226,0.9997523035767364,1
S,0.6,0.005555555555555556,0.011009174311926606,0.9999065857076133,1
V,0.5722100656455142,0.7314685314685314,0.6421117249846532,0.9618908382066277,1
N,0.8686462965619471,0.9972551602986386,0.9285184901224156,0.26432779860739153,2
Q,0.9806243272335845,0.5164399092970522,0.6765688822874119,0.9991082928762509,2
S,0.0,0.0,0.0,0.9994862213918729,2
V,0.6597938144329897,0.044755244755244755,0.08382449246889326,0.998391812865497,2
N,0.8842673671920607,0.9978590250329381,0.9376354069947385,0.36288162828066417,3
Q,0.9979550102249489,0.5532879818594104,0.711889132020423,0.9999009214306945,3
S,0.4444444444444444,0.014814814814814815,0.02867383512544803,0.9995329285380663,3
V,0.8492462311557789,0.23636363636363636,0.36980306345733044,0.9970760233918129,3
N,0.8676933346047487,0.9990667545015371,0.9287573360551161,0.25682913765399035,4
Q,0.9757639620653319,0.5249433106575964,0.6826391448580906,0.9988605964529872,4
S,0.0,0.0,0.0,0.9995796356842597,4
V,0.3888888888888889,0.0048951048951048955,0.009668508287292817,0.9994639376218324,4
N,0.9319560669456067,0.9782059727711901,0.9545211056353118,0.6515800749866095,5
Q,0.9361438313701178,0.8560090702947846,0.8942848682262363,0.9948974536807689,5
S,0.0,0.0,0.0,1.0,5
V,0.714872637633525,0.6083916083916084,0.657347941065357,0.9830896686159845,5
N,0.8830153876025436,0.9986275801493193,0.9372697529432981,0.35457953936797,6
Q,0.9940119760479041,0.564625850340136,0.720173535791757,0.9997027642920836,6
S,0.7586206896551724,0.040740740740740744,0.0773286467486819,0.9996730499766464,6
V,0.9213836477987422,0.2048951048951049,0.3352402745995423,0.9987816764132553,6
N,0.903860597866907,0.9909420289855072,0.945400267106607,0.48580610605249064,7
Q,0.9694555112881806,0.8276643990929705,0.8929663608562691,0.9977211929059744,7
S,0.5714285714285714,0.044444444444444446,0.08247422680412371,0.9991592713685193,7
V,0.703016241299304,0.21188811188811188,0.32563138097796884,0.9937621832358674,7
